,P00,P01,P02,P03,P10,P11,P12,P13,P20,P21,P22,P23,P30,P31,P32,P33,Score
0,0.9997976075946071,0.00020239240539290734,3.276124015561799e-20,7.282324509063077e-37,0.03246142320417006,0.9675385767958095,2.049198517146851e-14,8.829145991988965e-37,0.9177836130945896,0.08221638689754793,7.862551514474331e-12,1.4424831584837452e-34,1.70031691819053e-10,0.9999999998252188,4.749441916072941e-12,1.228539679984318e-35,90771.85037179923
1,7.821900046555693e-12,1.4438872411583833e-34,0.08222924724180683,0.9177707527503713,4.73003521191864e-12,1.2286909223528547e-35,0.999999999825247,1.700228374503667e-10,2.0378223884596704e-14,8.837294547249339e-37,0.9675385174971095,0.03246148250287023,3.256521976111151e-20,7.289629902187906e-37,0.00020239229484348277,0.9997976077051565,90771.7206506184
2,0.999797607888011,0.00020239211198901542,3.22262477254496e-20,7.2985415165796354e-37,0.032461600627924886,0.9675383993720549,2.0178887136101513e-14,8.846877481320714e-37,0.9177439094369061,0.08225609055534264,7.751213113709447e-12,1.4456762559869164e-34,1.6998332217463826e-10,0.9999999998253221,4.6946050109138455e-12,1.2284683834711115e-35,90771.6052989706
3,0.9997976080612099,0.00020239193879015632,7.324637748604826e-37,3.1903525325520404e-20,0.0324617010452293,0.9675382989547506,8.877461597704671e-37,1.9989442898889023e-14,1.7005147071153226e-10,0.9999999998252852,1.2307285040085944e-35,4.663284983465745e-12,0.9177184841817866,0.08228151581052973,1.4507838253524632e-34,7.683711744107427e-12,90771.45180386661
4,0.999797608214492,0.000202391785507977,3.128525774808374e-20,7.3222147478265175e-37,0.0324617879464699,0.9675382120535105,1.9647265333461694e-14,8.872739489802418e-37,0.9176996334696175,0.08230036652282736,7.55517746213038e-12,1.449906823895995e-34,1.6985471568333347e-10,0.9999999998255429,4.602396141218358e-12,1.2277640480608863e-35,90771.29561908124
5,7.661770832214123e-12,0.08230376208989965,1.4535748593504163e-34,0.9176962379024385,1.9915870698458955e-14,0.9675381811644616,8.892751507046499e-37,0.03246181883551855,4.65084853203201e-12,0.9999999998252361,1.2319429678286646e-35,1.70113041659107e-10,3.1797841555743967e-20,0.00020239172926507816,7.337774652752032e-37,0.9997976082707349,90771.22015915277
6,0.9997976084391706,0.0002023915608293058,7.36963936657851e-37,3.175043613482628e-20,0.032461918785640316,0.9675380812143397,8.931212034974792e-37,1.9874709241167583e-14,1.7030654813392222e-10,0.9999999998250473,1.2361135356139006e-35,4.6461815331564e-12,0.9176749212499955,0.08232507874235279,1.460054354897189e-34,7.651674886054244e-12,90771.06642817988
7,7.967582879015843e-12,0.08232248526060935,1.4729678322075915e-34,0.9176775147314232,2.0672222879367535e-14,0.967537978886755,9.00606428139386e-37,0.032462021113224486,4.791659568368677e-12,0.9999999998240352,1.2502263484070209e-35,1.711730100833388e-10,3.326839123242201e-20,0.00020239138513312066,7.427296723091141e-37,0.9997976086148669,90770.91494527021
8,0.9997976087974524,0.00020239120254765845,3.152682696814678e-20,7.390897079025029e-37,0.03246214092187048,0.9675378590781097,1.9724744575453518e-14,8.956114751837741e-37,0.9176338809468387,0.08236611904555616,7.605182673888682e-12,1.4646112609482376e-34,1.703990760101442e-10,0.9999999998249812,4.6196684663878755e-12,1.23792942162087e-35,90770.8093597262
9,0.9997976089689791,0.00020239103102090647,7.413648879020511e-37,3.147378586440613e-20,0.03246223866306046,0.9675377613369198,8.98352305469999e-37,1.9682241205520964e-14,1.7053658206464803e-10,0.9999999998248496,1.2407850354317218e-35,4.613810443828816e-12,0.9176150817562715,0.0823849182361344,1.4692807497342775e-34,7.594111654810181e-12,90770.65416029848
10,0.9997976090837367,0.00020239091626328166,7.404720453507267e-37,3.166424046240616e-20,0.032462301511784974,0.9675376984881954,8.97295627572835e-37,1.9777022362055612e-14,1.705542516494505e-10,0.9999999998248168,1.240170248224232e-35,4.6290552882510475e-12,0.9176094898971937,0.08239051009517204,1.4678691150176657e-34,7.634220583554412e-12,90770.51907186829
11,0.9997976092069234,0.00020239079307662967,2.986375508424902e-20,7.439386122350777e-37,0.032462368128675215,0.967537631871306,1.8793272447277556e-14,9.009099148899801e-37,0.9175608702478235,0.0824391297449208,7.255778723015935e-12,1.473179823698608e-34,1.701494855139623e-10,0.999999999825393,4.457442873048442e-12,1.2373603702171683e-35,90770.37905858418
12,7.560918266181547e-12,0.0824275565637558,0.9175724434286833,1.4751026887521022e-34,1.956495968911757e-14,0.9675375373468997,0.03246246265308068,9.015532511931878e-37,3.1314431890524416e-20,0.00020239062999137075,0.9997976093700086,7.440980389614959e-37,4.594157259081631e-12,0.9999999998247272,1.7067850450234132e-10,1.243562477537015e-35,90770.22252940839
